Sample01,Sample02,Sample03,Sample04,Sample05,Sample06,Sample07,Sample08,Sample09,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19,Sample20,Sample21,Sample22,Sample23
uspF,group_210,group_210,group_210,group_210,group_210,group_93,group_496,group_496,group_93,group_93,group_876,group_496,group_93,group_496,group_210,group_93,group_496,group_496,group_496,group_2073,group_2521,group_3074
group_1363,group_496,group_496,group_496,group_496,group_496,group_53,group_93,group_93,group_53,group_53,qacA_2,group_93,group_53,group_93,group_496,group_53,group_93,group_93,group_93,group_1087,fdxE,group_2079
group_1854,group_94,group_94,group_94,group_94,group_94,group_51,group_53,group_53,group_51,group_51,recA,group_53,group_51,group_53,group_93,group_51,group_53,group_53,group_53,group_2074,hscA,virD4
fdxE,group_93,group_93,group_93,group_93,group_93,sca2_3,group_51,group_51,sca2_3,sca2_3,fabG,group_51,sca2_3,group_51,group_53,sca2_3,group_51,group_51,group_51,group_1088,hscB,gppA
hscA,group_52,group_52,group_52,group_52,group_52,uspF,sca2_3,sca2_3,uspF,uspF,group_1829,sca2_3,uspF,sca2_3,group_51,uspF,sca2_3,sca2_3,sca2_3,virB9,rnhB,group_3075
hscB,group_51,group_51,group_51,group_51,group_51,group_1363,uspF,uspF,group_1363,group_1363,acpP,uspF,group_1363,uspF,sca2_3,group_1363,uspF,uspF,uspF,group_2075,uvrB,group_1090
rnhB,sca2_3,sca2_3,sca2_3,sca2_3,sca2_3,group_1854,group_1363,group_1363,group_1854,group_1854,fabF,group_1363,group_1854,group_1363,uspF,group_1854,group_1363,group_1363,group_1363,group_2076,group_500,cysQ
uvrB,uspF,uspF,uspF,uspF,uspF,fdxE,group_1854,group_1854,fdxE,fdxE,uup,group_1854,fdxE,group_1854,group_1363,fdxE,group_1854,group_1854,group_1854,group_1089,atm1,group_3076
group_500,group_1363,group_1363,group_1363,group_1363,group_1363,hscA,fdxE,fdxE,hscA,hscA,group_37,fdxE,hscA,fdxE,group_1854,hscA,fdxE,fdxE,fdxE,group_2077,atm1_1,group_2083
atm1,group_1854,group_1854,group_1854,group_1854,group_1854,hscB,hscA,hscA,hscB,hscB,group_352,hscA,hscB,hscA,fdxE,hscB,hscA,hscA,hscA,group_2078,atm1_2,group_3077
group_1366,fdxE,fdxE,fdxE,fdxE,fdxE,rnhB,hscB,hscB,rnhB,rnhB,group_1698,hscB,rnhB,hscB,hscA,rnhB,hscB,hscB,hscB,group_2079,group_2524,group_1092
gyrA,hscA,hscA,hscA,hscA,hscA,uvrB,rnhB,rnhB,uvrB,uvrB,gmk,rnhB,uvrB,rnhB,hscB,uvrB,rnhB,rnhB,rnhB,virD4,group_2525,group_3078
group_1368,hscB,hscB,hscB,hscB,hscB,group_500,uvrB,uvrB,group_500,group_500,group_162,uvrB,group_500,uvrB,rnhB,group_500,uvrB,uvrB,uvrB,gppA,gyrA,group_2086
group_28,rnhB,rnhB,rnhB,rnhB,rnhB,atm1,group_500,group_500,atm1,atm1,mreC,group_500,atm1,group_500,uvrB,atm1,group_500,group_500,group_500,group_2080,group_2526,group_3079
group_29,uvrB,uvrB,uvrB,uvrB,uvrB,group_1366,atm1,atm1,group_1366,group_1366,mreB,atm1,group_1366,atm1,group_500,group_1366,atm1,atm1,atm1,group_2081,group_2527,group_1093
group_211,group_500,group_500,group_500,group_500,group_500,gyrA,group_1366,group_1366,gyrA,gyrA,group_1701,group_1366,gyrA,group_1366,atm1,gyrA,group_1366,group_1366,group_1366,group_1090,group_28,group_1094
group_1369,atm1,atm1,atm1,atm1,atm1,group_28,gyrA,gyrA,group_28,group_28,pal,gyrA,group_28,gyrA,group_1366,group_28,gyrA,gyrA,gyrA,cysQ,group_2528,group_2088
group_1370,group_1366,group_1366,group_1366,group_1366,group_1366,group_211,group_28,group_28,group_211,group_211,group_353,group_28,group_211,group_28,gyrA,group_211,group_28,group_28,group_28,group_2082,group_1369,group_3080
def_2,gyrA,gyrA,gyrA,gyrA,gyrA,group_1369,group_211,group_211,group_1369,group_1369,fabH,group_211,group_1369,group_211,group_28,group_1369,group_211,group_211,group_211,group_2083,group_2529,group_3081
fmt,group_28,group_28,group_28,group_28,group_28,group_1370,group_1369,group_1369,group_1370,group_1370,rpmF,group_1369,group_1370,group_1369,group_211,group_1370,group_1369,group_1369,group_1369,nlpD,group_2530,group_3082
group_1371,group_29,group_29,group_29,group_29,group_29,def_2,group_1370,group_1370,def_2,def_2,group_354,group_1370,def_2,group_1370,group_1369,def_2,group_1370,group_1370,group_1370,group_1092,def_2,group_3083
group_504,group_211,group_211,group_211,group_211,group_211,fmt,def_2,def_2,fmt,fmt,ftsY,def_2,fmt,def_2,group_1370,fmt,def_2,def_2,def_2,group_2085,fmt,group_1095
group_212,group_1369,group_1369,group_1369,group_1369,group_1369,group_1371,fmt,fmt,group_1371,group_1371,polA,fmt,group_1371,fmt,def_2,group_1371,fmt,fmt,fmt,group_2086,group_2531,nanT_1
zapE,group_1370,group_1370,group_1370,group_1370,group_1370,group_504,group_1371,group_1371,group_504,group_504,metK_1,group_1371,group_504,group_1371,fmt,group_504,group_1371,group_1371,group_1371,group_2087,group_504,group_1096
queA,def_2,def_2,def_2,def_2,def_2,group_212,group_504,group_504,group_212,group_212,metK_2,group_504,group_212,group_504,group_1371,group_212,group_504,group_504,group_504,group_1093,zapE,group_1097
group_213,fmt,fmt,fmt,fmt,fmt,zapE,group_212,group_212,zapE,zapE,group_1830,group_212,zapE,group_212,group_504,zapE,group_212,group_212,group_212,group_1094,queA,group_3084
group_1373,group_1371,group_1371,group_1371,group_1371,group_1371,queA,zapE,zapE,queA,queA,group_74,zapE,queA,zapE,group_212,queA,zapE,zapE,zapE,group_2088,group_2532,group_1098
group_506,group_504,group_504,group_504,group_504,group_504,group_213,queA,queA,group_213,group_213,group_1705,queA,group_213,queA,zapE,group_213,queA,queA,queA,group_2089,group_2533,group_3085
group_1374,group_212,group_212,group_212,group_212,group_212,group_214,group_213,group_213,group_214,group_214,group_1831,group_213,group_214,group_213,queA,group_214,group_213,group_213,group_213,group_2090,group_2534,group_2095
cydB,zapE,zapE,zapE,zapE,zapE,group_1373,group_214,group_214,group_1373,group_1373,group_881,group_214,group_1373,group_214,group_213,group_1373,group_214,group_214,group_214,group_2091,group_1373,group_2096
relJ,queA,queA,queA,queA,queA,group_506,group_1373,group_1373,group_506,group_506,dnaE1,group_1373,group_506,group_1373,group_214,group_506,group_1373,group_1373,group_1373,group_2092,group_506,group_3086
group_509,group_213,group_213,group_213,group_213,group_213,group_1374,group_506,group_506,group_1374,group_1374,rkpK,group_506,group_1374,group_506,group_1373,group_1374,group_506,group_506,group_506,group_1095,group_1374,group_3087
group_510,group_1373,group_1373,group_1373,group_1373,group_1373,cydB,group_1374,group_1374,cydB,cydB,group_882,group_1374,cydB,group_1374,group_506,cydB,group_1374,group_1374,group_1374,nanT_1,cydB,group_1099
group_511,group_506,group_506,group_506,group_506,group_506,relJ,cydB,cydB,relJ,relJ,group_883,cydB,relJ,cydB,group_1374,relJ,cydB,cydB,cydB,group_1096,relJ,group_3088
purC,group_1374,group_1374,group_1374,group_1374,group_1374,group_509,relJ,relJ,group_509,group_509,tatC,relJ,group_509,relJ,cydB,group_509,relJ,relJ,relJ,group_1097,group_509,group_3089
group_512,cydB,cydB,cydB,cydB,cydB,group_510,group_509,group_509,group_510,group_510,serS,group_509,group_510,group_509,relJ,group_510,group_509,group_509,group_509,group_2093,group_510,gltX1_1
thrS,relJ,relJ,relJ,relJ,relJ,group_511,group_510,group_510,group_511,group_511,virB4_2,group_510,group_511,group_510,group_509,group_511,group_510,group_510,group_510,group_1098,group_511,group_1100
group_1376,group_509,group_509,group_509,group_509,group_509,purC,group_511,group_511,purC,purC,group_886,group_511,purC,group_511,group_510,purC,group_511,group_511,group_511,group_2094,purC,group_3091
group_514,group_510,group_510,group_510,group_510,group_510,group_512,purC,purC,group_512,group_512,alx,purC,group_512,purC,group_511,group_512,purC,purC,purC,group_2095,group_512,ahpC
group_1377,group_511,group_511,group_511,group_511,group_511,thrS,group_512,group_512,thrS,thrS,group_1710,group_512,thrS,group_512,purC,thrS,group_512,group_512,group_512,group_2096,thrS,qmcA
hepA,purC,purC,purC,purC,purC,group_1780,thrS,thrS,group_1780,group_1780,group_1711,thrS,group_1780,thrS,group_512,group_1780,thrS,thrS,thrS,group_2097,group_953,group_3092
group_95,group_512,group_512,group_512,group_512,group_512,group_1781,group_1780,group_1780,group_1781,group_1781,higB-2,group_1780,group_1781,group_1780,thrS,group_1781,group_1780,group_1780,group_1780,group_2098,group_2535,group_3093
group_216,thrS,thrS,thrS,thrS,thrS,group_514,group_1781,group_1781,group_514,group_514,higA-2,group_1781,group_514,group_1781,group_1780,group_514,group_1781,group_1781,group_1781,group_1099,group_2536,group_3094
group_218,group_1376,group_1376,group_1376,group_1376,group_1376,group_953,group_514,group_514,group_953,group_953,nuoJ,group_514,group_953,group_514,group_1781,group_953,group_514,group_514,group_514,group_2099,group_95,group_1101
bepC,group_514,group_514,group_514,group_514,group_514,hepA,group_953,group_953,hepA,hepA,nuoK,group_953,hepA,group_953,group_514,hepA,group_953,group_953,group_953,bioY,group_2537,group_2104
group_515,group_1855,group_1855,group_1855,group_1855,group_1855,group_95,hepA,hepA,group_95,group_95,nuoL,hepA,group_95,hepA,group_953,group_95,hepA,hepA,hepA,group_2101,group_216,group_3095
group_516,hepA,hepA,hepA,hepA,hepA,group_1782,group_95,group_95,group_1782,group_1782,ndhD1,group_95,group_1782,group_95,hepA,group_1782,group_95,group_95,group_95,group_1100,group_2538,group_3096
parE,group_95,group_95,group_95,group_95,group_95,group_216,group_1782,group_1782,group_216,group_216,ccmA,group_1782,group_216,group_1782,group_95,group_216,group_1782,group_1782,group_1782,ahpC,group_2539,mshA
group_517,group_1782,group_1782,group_1782,group_1782,group_1782,group_217,group_216,group_216,group_217,group_217,nuoI,group_216,group_217,group_216,group_1782,group_217,group_216,group_216,group_216,qmcA,bepC,group_3097
rcsC,group_216,group_216,group_216,group_216,group_216,bepC,group_217,group_217,bepC,bepC,nuoH,group_217,bepC,group_217,group_216,bepC,group_217,group_217,group_217,group_2102,group_515,wecH
cpoB_1,group_217,group_217,group_217,group_217,group_217,group_515,bepC,bepC,group_515,group_515,nqo3,bepC,group_515,bepC,group_217,group_515,bepC,bepC,bepC,group_2103,group_2540,group_3099
group_519,group_218,group_218,group_218,group_218,group_218,group_1783,group_515,group_515,group_1783,group_1783,group_890,group_515,group_1783,group_515,bepC,group_1783,group_515,group_515,group_515,group_1101,group_516,group_3100
bamB,bepC,bepC,bepC,bepC,bepC,group_516,group_1783,group_1783,group_516,group_516,acnA,group_1783,group_516,group_1783,group_515,group_516,group_1783,group_1783,group_1783,group_2104,parE,mdtA
rplM,group_515,group_515,group_515,group_515,group_515,parE,group_516,group_516,parE,parE,atpC,group_516,parE,group_516,group_1783,parE,group_516,group_516,group_516,group_2105,group_517,group_3102
rpsI,group_516,group_516,group_516,group_516,group_516,group_517,parE,parE,group_517,group_517,atpD,parE,group_517,parE,group_516,group_517,parE,parE,parE,group_2106,rcsC,group_1103
ddpX_1,parE,parE,parE,parE,parE,rcsC,group_517,group_517,rcsC,rcsC,atpG,group_517,rcsC,group_517,parE,rcsC,group_517,group_517,group_517,mshA,cpoB_1,group_1104
ddpX,group_517,group_517,group_517,group_517,group_517,cpoB_1,rcsC,rcsC,cpoB_1,cpoB_1,atpA,rcsC,cpoB_1,rcsC,group_517,cpoB_1,rcsC,rcsC,rcsC,group_2107,group_519,group_3103
group_220,rcsC,rcsC,rcsC,rcsC,rcsC,group_519,cpoB_1,cpoB_1,group_519,group_519,atpH_2,cpoB_1,group_519,cpoB_1,rcsC,group_519,cpoB_1,cpoB_1,cpoB_1,group_2108,bamB,group_1105
rppH,cpoB_1,cpoB_1,cpoB_1,cpoB_1,cpoB_1,bamB,group_519,group_519,bamB,bamB,lpd,group_519,bamB,group_519,cpoB_1,bamB,group_519,group_519,group_519,group_2109,rplM,group_3104
pleD,group_519,group_519,group_519,group_519,group_519,rplM,bamB,bamB,rplM,rplM,group_1719,bamB,rplM,bamB,group_519,rplM,bamB,bamB,bamB,group_2110,rpsI,group_3105
efp,bamB,bamB,bamB,bamB,bamB,rpsI,rplM,rplM,rpsI,rpsI,group_897,rplM,rpsI,rplM,bamB,rpsI,rplM,rplM,rplM,group_2111,group_2541,group_3106
cysQ_1,rplM,rplM,rplM,rplM,rplM,ddpX_1,rpsI,rpsI,ddpX_1,ddpX_1,group_163,rpsI,ddpX_1,rpsI,rplM,ddpX_1,rpsI,rpsI,rpsI,group_2112,group_2542,group_3107
group_524,rpsI,rpsI,rpsI,rpsI,rpsI,ddpX,ddpX_1,ddpX_1,ddpX,ddpX,bla,ddpX_1,ddpX,ddpX_1,rpsI,ddpX,ddpX_1,ddpX_1,ddpX_1,group_1103,group_2543,group_3108
psd,ddpX_1,ddpX_1,ddpX_1,ddpX_1,ddpX_1,group_220,ddpX,ddpX,group_220,group_220,mrcA,ddpX,group_220,ddpX,ddpX_1,group_220,ddpX,ddpX,ddpX,group_1104,group_2544,group_3109
group_526,ddpX,ddpX,ddpX,ddpX,ddpX,group_1784,group_220,group_220,group_1784,group_1784,miaB,group_220,group_1784,group_220,ddpX,group_1784,group_220,group_220,group_220,group_1105,rppH,group_3110
emrA,group_220,group_220,group_220,group_220,group_220,group_1785,group_1784,group_1784,group_1785,group_1785,group_358,group_1784,group_1785,group_1784,group_220,group_1785,group_1784,group_1784,group_1784,group_2113,pleD,group_3111
group_1385,group_1784,group_1784,group_1784,group_1784,group_1784,rppH,group_1785,group_1785,rppH,rppH,group_1832,group_1785,rppH,group_1785,group_1784,rppH,group_1785,group_1785,group_1785,group_2114,efp,group_3112
group_221,group_1856,group_1856,group_1856,group_1856,group_1856,pleD,rppH,rppH,pleD,pleD,group_359,rppH,pleD,rppH,group_1785,pleD,rppH,rppH,rppH,group_2115,cysQ_1,group_1106
group_1386,rppH,rppH,rppH,rppH,rppH,efp,pleD,pleD,efp,efp,group_164,pleD,efp,pleD,rppH,efp,pleD,pleD,pleD,group_2116,group_524,group_3113
bolA,pleD,pleD,pleD,pleD,pleD,cysQ_1,efp,efp,cysQ_1,cysQ_1,group_900,efp,cysQ_1,efp,pleD,cysQ_1,efp,efp,efp,group_2117,psd,group_1107
group_529,efp,efp,efp,efp,efp,group_524,cysQ_1,cysQ_1,group_524,group_524,kefC,cysQ_1,group_524,cysQ_1,efp,group_524,cysQ_1,cysQ_1,cysQ_1,group_2118,group_526,ndhC
murC,cysQ_1,cysQ_1,cysQ_1,cysQ_1,cysQ_1,psd,group_524,group_524,psd,psd,rsfS,group_524,psd,group_524,cysQ_1,psd,group_524,group_524,group_524,group_2119,emrA,group_3114
murB,group_524,group_524,group_524,group_524,group_524,group_526,psd,psd,group_526,group_526,group_1723,psd,group_526,psd,group_524,group_526,psd,psd,psd,group_2120,group_2545,group_1108
ddlB,psd,psd,psd,psd,psd,emrA,group_526,group_526,emrA,emrA,ompB_2,group_526,emrA,group_526,psd,emrA,group_526,group_526,group_526,group_1106,group_1386,group_3115
ftsQ,group_526,group_526,group_526,group_526,group_526,group_221,emrA,emrA,group_221,group_221,group_1725,emrA,group_221,emrA,group_526,group_221,emrA,emrA,emrA,nqo5,bolA,group_3116
ftsA,emrA,emrA,emrA,emrA,emrA,group_1386,group_221,group_221,group_1386,group_1386,group_360,group_221,group_1386,group_221,emrA,group_1386,group_221,group_221,group_221,group_1107,group_529,group_3117
group_532,group_221,group_221,group_221,group_221,group_221,bolA,group_1386,group_1386,bolA,bolA,group_39,group_1386,bolA,group_1386,group_221,bolA,group_1386,group_1386,group_1386,ndhC,murC,group_1109
group_533,group_1386,group_1386,group_1386,group_1386,group_1386,group_529,bolA,bolA,group_529,group_529,group_1726,bolA,group_529,bolA,group_1386,group_529,bolA,bolA,bolA,group_2122,murB,group_3118
group_534,bolA,bolA,bolA,bolA,bolA,murC,group_529,group_529,murC,murC,group_166,group_529,murC,group_529,bolA,murC,group_529,group_529,group_529,group_1108,ddlB,group_3119
lpxC,group_529,group_529,group_529,group_529,group_529,murB,murC,murC,murB,murB,group_361,murC,murB,murC,group_529,murB,murC,murC,murC,xerD_1,ftsQ,group_3120
group_1391,murC,murC,murC,murC,murC,ddlB,murB,murB,ddlB,ddlB,infA,murB,ddlB,murB,murC,ddlB,murB,murB,murB,group_2124,ftsA,group_3121
rne,murB,murB,murB,murB,murB,ftsQ,ddlB,ddlB,ftsQ,ftsQ,maf,ddlB,ftsQ,ddlB,murB,ftsQ,ddlB,ddlB,ddlB,group_2125,group_532,group_1110
ctaA,ddlB,ddlB,ddlB,ddlB,ddlB,ftsA,ftsQ,ftsQ,ftsA,ftsA,dksA,ftsQ,ftsA,ftsQ,ddlB,ftsA,ftsQ,ftsQ,ftsQ,group_2126,group_533,group_3122
rluC,ftsQ,ftsQ,ftsQ,ftsQ,ftsQ,group_532,ftsA,ftsA,group_532,group_532,xerC,ftsA,group_532,ftsA,ftsQ,group_532,ftsA,ftsA,ftsA,group_1109,group_534,group_2134
ampH,ftsA,ftsA,ftsA,ftsA,ftsA,group_533,group_532,group_532,group_533,group_533,group_364,group_532,group_533,group_532,ftsA,group_533,group_532,group_532,group_532,group_2127,lpxC,group_1111
xthA_1,group_532,group_532,group_532,group_532,group_532,group_534,group_533,group_533,group_534,group_534,pld,group_533,group_534,group_533,group_532,group_534,group_533,group_533,group_533,group_2128,group_1391,group_3123
acoA,group_533,group_533,group_533,group_533,group_533,lpxC,group_534,group_534,lpxC,lpxC,group_365,group_534,lpxC,group_534,group_533,lpxC,group_534,group_534,group_534,group_2129,rne,group_1112
acoB,group_534,group_534,group_534,group_534,group_534,group_1391,lpxC,lpxC,group_1391,group_1391,phaC,lpxC,group_1391,lpxC,group_534,group_1391,lpxC,lpxC,lpxC,group_2130,ctaA,group_3124
typA,lpxC,lpxC,lpxC,lpxC,lpxC,rne,group_1391,group_1391,rne,rne,ubiD,group_1391,rne,group_1391,lpxC,rne,group_1391,group_1391,group_1391,group_2131,rluC,group_3125
group_96,group_1391,group_1391,group_1391,group_1391,group_1391,ctaA,rne,rne,ctaA,ctaA,ppiD,rne,ctaA,rne,group_1391,ctaA,rne,rne,rne,group_2132,group_2546,group_1113
group_222,rne,rne,rne,rne,rne,rluC,ctaA,ctaA,rluC,rluC,group_1834,ctaA,rluC,ctaA,rne,rluC,ctaA,ctaA,ctaA,group_1110,group_2547,group_3126
group_540,ctaA,ctaA,ctaA,ctaA,ctaA,ampH,rluC,rluC,ampH,ampH,group_1731,rluC,ampH,rluC,ctaA,ampH,rluC,rluC,rluC,group_2133,ampH,group_3127
group_541,rluC,rluC,rluC,rluC,rluC,xthA_1,ampH,ampH,xthA_1,xthA_1,group_905,ampH,xthA_1,ampH,rluC,xthA_1,ampH,ampH,ampH,group_2134,xthA_1,group_3128
icd,ampH,ampH,ampH,ampH,ampH,acoA,xthA_1,xthA_1,acoA,acoA,group_1732,xthA_1,acoA,xthA_1,ampH,acoA,xthA_1,xthA_1,xthA_1,group_1111,acoA,group_3129
group_954,xthA_1,xthA_1,xthA_1,xthA_1,xthA_1,acoB,acoA,acoA,acoB,acoB,map,acoA,acoB,acoA,xthA_1,acoB,acoA,acoA,acoA,group_2135,acoB,group_3130
group_2548,acoA,acoA,acoA,acoA,acoA,typA,acoB,acoB,typA,typA,group_907,acoB,typA,acoB,acoA,typA,acoB,acoB,acoB,group_1112,typA,group_1114
group_1396,acoB,acoB,acoB,acoB,acoB,group_96,typA,typA,group_96,group_96,tagO,typA,group_96,typA,acoB,group_96,typA,typA,typA,group_2136,group_96,group_3131
group_542,typA,typA,typA,typA,typA,group_222,group_96,group_96,group_222,group_222,group_908,group_96,group_222,group_96,typA,group_222,group_96,group_96,group_96,group_1113,group_222,group_3132
petA,group_96,group_96,group_96,group_96,group_96,group_1786,group_222,group_222,group_1786,group_1786,group_1734,group_222,group_1786,group_222,group_96,group_1786,group_222,group_222,group_222,group_2137,group_541,group_1115
petB,group_222,group_222,group_222,group_222,group_222,group_541,group_1786,group_1786,group_541,group_541,group_909,group_1786,group_541,group_1786,group_222,group_541,group_1786,group_1786,group_1786,group_2138,icd,group_1116
group_544,group_540,group_540,group_540,group_540,group_540,icd,group_541,group_541,icd,icd,fdxA,group_541,icd,group_541,group_1786,icd,group_541,group_541,group_541,group_2139,group_954,group_3133
petC,group_541,group_541,group_541,group_541,group_541,group_954,icd,icd,group_954,group_954,ccmC,icd,group_954,icd,group_541,group_954,icd,icd,icd,group_2140,group_2548,group_3134
group_224,icd,icd,icd,icd,icd,group_2548,group_954,group_954,group_2548,group_2548,tadA,group_954,group_2548,group_954,icd,group_2548,group_954,group_954,group_954,group_1114,group_1396,group_1117
group_1398,group_954,group_954,group_954,group_954,group_954,group_1396,group_2548,group_2548,group_1396,group_1396,fieF,group_2548,group_1396,group_2548,group_954,group_1396,group_2548,group_2548,group_2548,group_2141,group_542,group_2146
group_545,group_2548,group_2548,group_2548,group_2548,group_2548,group_542,group_1396,group_1396,group_542,group_542,group_1738,group_1396,group_542,group_1396,group_2548,group_542,group_1396,group_1396,group_1396,group_2142,petA,group_2147
group_546,group_1396,group_1396,group_1396,group_1396,group_1396,petA,group_542,group_542,petA,petA,group_980,group_542,petA,group_542,group_1396,petA,group_542,group_542,group_542,group_1115,petB,group_3135
yhcG_1,group_542,group_542,group_542,group_542,group_542,petB,petA,petA,petB,petB,znuC,petA,petB,petA,group_542,petB,petA,petA,petA,group_1116,petC,group_1118
group_1399,petA,petA,petA,petA,petA,group_1787,petB,petB,group_1787,group_1787,group_76,petB,group_1787,petB,petA,group_1787,petB,petB,petB,group_2143,group_2549,group_3136
prfB,petB,petB,petB,petB,petB,petC,group_1787,group_1787,petC,petC,group_367,group_1787,petC,group_1787,petB,petC,group_1787,group_1787,group_1787,group_2144,group_1398,group_3137
lepA,group_544,group_544,group_544,group_544,group_544,group_224,petC,petC,group_224,group_224,group_1740,petC,group_224,petC,group_1787,group_224,petC,petC,petC,group_2145,group_545,group_1119
group_226,petC,petC,petC,petC,petC,group_1398,group_224,group_224,group_1398,group_1398,uvrA,group_224,group_1398,group_224,petC,group_1398,group_224,group_224,group_224,group_1117,group_2550,group_3138
group_1402,group_1857,group_1857,group_1857,group_1857,group_1857,group_545,group_1398,group_1398,group_545,group_545,ssb,group_1398,group_545,group_1398,group_224,group_545,group_1398,group_1398,group_1398,group_2146,yhcG_1,group_3139
group_547,group_224,group_224,group_224,group_224,group_224,group_546,group_545,group_545,group_546,group_546,group_912,group_545,group_546,group_545,group_1398,group_546,group_545,group_545,group_545,group_2147,yhcG,group_3140
group_227,group_1398,group_1398,group_1398,group_1398,group_1398,yhcG_1,group_546,group_546,yhcG_1,yhcG_1,group_1741,group_546,yhcG_1,group_546,group_545,yhcG_1,group_546,group_546,group_546,group_2148,prfB,group_3141
group_97,group_545,group_545,group_545,group_545,group_545,yhcG,yhcG_1,yhcG_1,yhcG,yhcG,rrrD,yhcG_1,yhcG,yhcG_1,group_546,yhcG,yhcG_1,yhcG_1,yhcG_1,group_2149,lepA,group_3142
group_548,group_546,group_546,group_546,group_546,group_546,group_1788,yhcG,yhcG,group_1788,group_1788,group_369,yhcG,group_1788,yhcG,yhcG_1,group_1788,yhcG,yhcG,yhcG,group_1118,group_226,group_3143
group_550,yhcG_1,yhcG_1,yhcG_1,yhcG_1,yhcG_1,prfB,group_1788,group_1788,prfB,prfB,group_1742,group_1788,prfB,group_1788,yhcG,prfB,group_1788,group_1788,group_1788,group_2150,group_2551,group_3144
group_1403,yhcG,yhcG,yhcG,yhcG,yhcG,lepA,prfB,prfB,lepA,lepA,htpG,prfB,lepA,prfB,group_1788,lepA,prfB,prfB,prfB,group_2151,group_2552,group_3145
group_228,group_1788,group_1788,group_1788,group_1788,group_1788,group_956,lepA,lepA,group_956,group_956,hemA,lepA,group_956,lepA,prfB,group_956,lepA,lepA,lepA,group_2152,group_2553,group_1120
group_552,prfB,prfB,prfB,prfB,prfB,group_1402,group_956,group_956,group_1402,group_1402,group_1744,group_956,group_1402,group_956,lepA,group_1402,group_956,group_956,group_956,group_1119,group_99,group_3146
group_553,lepA,lepA,lepA,lepA,lepA,group_547,group_1402,group_1402,group_547,group_547,tig,group_1402,group_547,group_1402,group_956,group_547,group_1402,group_1402,group_1402,group_2153,group_2554,group_3147
mrdB,group_226,group_226,group_226,group_226,group_226,group_227,group_547,group_547,group_227,group_227,cgtA,group_547,group_227,group_547,group_1402,group_227,group_547,group_547,group_547,group_2154,group_2556,group_3148
ptrB,group_956,group_956,group_956,group_956,group_956,group_1789,group_227,group_227,group_1789,group_1789,gltA,group_227,group_1789,group_227,group_547,group_1789,group_227,group_227,group_227,group_2155,group_2557,group_1121
ndhB_1,group_1402,group_1402,group_1402,group_1402,group_1402,group_97,group_1789,group_1789,group_97,group_97,group_1746,group_1789,group_97,group_1789,group_227,group_97,group_1789,group_1789,group_1789,group_2156,mrdB,group_3149
vapC,group_547,group_547,group_547,group_547,group_547,group_548,group_97,group_97,group_548,group_548,rluD,group_97,group_548,group_97,group_1789,group_548,group_97,group_97,group_97,group_2157,ptrB,group_3150
group_556,group_227,group_227,group_227,group_227,group_227,group_550,group_548,group_548,group_550,group_550,group_371,group_548,group_550,group_548,group_97,group_550,group_548,group_548,group_548,group_2158,group_2558,group_3151
group_557,group_1858,group_97,group_1858,group_1858,group_1858,group_1403,group_550,group_550,group_1403,group_1403,group_1836,group_550,group_1403,group_550,group_548,group_1403,group_550,group_550,group_550,group_2159,vapC,group_3152
mrpA,group_97,group_548,group_97,group_97,group_97,group_228,group_1403,group_1403,group_228,group_228,group_372,group_1403,group_228,group_1403,group_550,group_228,group_1403,group_1403,group_1403,group_2160,group_556,group_3153
ndhB_2,group_548,group_550,group_548,group_548,group_548,group_552,group_228,group_228,group_552,group_552,group_373,group_228,group_552,group_228,group_1403,group_552,group_228,group_228,group_228,group_1120,mrpA,group_3154
mnhC1,group_550,group_1403,group_550,group_550,group_550,group_553,group_552,group_552,group_553,group_553,group_916,group_552,group_553,group_552,group_228,group_553,group_552,group_552,group_552,group_2161,ndhB_2,group_3155
virB9,group_1403,group_228,group_1403,group_1403,group_1403,mrdB,group_553,group_553,mrdB,mrdB,group_981,group_553,mrdB,group_553,group_552,mrdB,group_553,group_553,group_553,group_2162,group_2559,group_1122
group_560,group_228,group_553,group_228,group_228,group_228,ptrB,mrdB,mrdB,ptrB,ptrB,prmC,mrdB,ptrB,mrdB,group_553,ptrB,mrdB,mrdB,mrdB,group_2163,virB9,group_3156
group_1409,group_553,mrdB,group_553,group_553,group_553,ndhB_1,ptrB,ptrB,ndhB_1,ndhB_1,ywlC,ptrB,ndhB_1,ptrB,mrdB,ndhB_1,ptrB,ptrB,ptrB,group_1121,group_2560,group_3157
virB8,mrdB,ptrB,mrdB,mrdB,mrdB,vapC,ndhB_1,ndhB_1,vapC,vapC,glyS,ndhB_1,vapC,ndhB_1,ptrB,vapC,ndhB_1,ndhB_1,ndhB_1,group_2164,group_1409,group_3158
group_562,ptrB,ndhB_1,ptrB,ptrB,ptrB,group_556,vapC,vapC,group_556,group_556,glyQ,vapC,group_556,vapC,ndhB_1,group_556,vapC,vapC,vapC,group_2165,virB8,group_3159
group_563,ndhB_1,vapC,ndhB_1,ndhB_1,ndhB_1,group_557,group_556,group_556,group_557,group_557,fitB,group_556,group_557,group_556,vapC,group_557,group_556,group_556,group_556,group_2166,group_562,group_3160
group_1410,vapC,group_556,vapC,vapC,vapC,mrpA,group_557,group_557,mrpA,mrpA,group_1749,group_557,mrpA,group_557,group_556,mrpA,group_557,group_557,group_557,mshA_3,group_563,group_1123
